代號,名稱,股數
2206,三陽,86.86
2207,和泰車,54.62
2208,台船,74.36
2221,大甲,4.242
2227,裕日車,30
2228,劍麟,7.578
2230,泰茂,3.962
2231,為升,10.12
2233,宇隆,4.921
2235,謚源,3.588
2236,F-百達,3.831
2239,F-英利,11
2243,宏旭-KY,4.16
2301,光寶科,235.1
2302,麗正,16.63
2303,聯電,1262
2305,全友,20.57
2308,台達電,259.8
2311,日月光,873.7
2312,金寶,145.6
2313,華通,119.2
2314,台揚,22.8
2316,楠梓電,22.56
2317,鴻海,1733
2321,東訊,63.07
2323,中環,183.1
2324,仁寶,442
2325,矽品,311.6
2327,國巨,35.04
2328,廣宇,51.83
2329,華泰,80.6
2330,台積電,2593
2331,精英,55.74
2332,友訊,65.2
2337,旺宏,180.5
2338,光罩,25.27
2340,光磊,44.54
2342,茂矽,11.31
2344,華邦電,398
2345,智邦,55.29
2347,聯強,166.8
2348,海悅,8.56
2349,錸德,176.7
2351,順德,18.21
2352,佳世達,196.7
2353,宏碁,307.7
2354,鴻準,141.4
2355,敬鵬,39.75
2356,英業達,358.7
2357,華碩,74.28
2358,廷鑫,7.962
2359,所羅門,17.15
2360,致茂,41.19
2362,藍天,68.32
2363,矽統,56.01
2364,倫飛,19.89
2365,昆盈,24.35
2367,燿華,54.43
2368,金像電,55.22
2369,菱生,38.01
2371,大同,234
2373,震旦行,23.62
2374,佳能,28.24
2375,智寶,9.152
2376,技嘉,63.32
2377,微星,84.49
2379,瑞昱,50.65
2380,虹光,20.82
2382,廣達,386.3
2383,台光電,31.97
2385,群光,72.06
2387,精元,22.11
2388,威盛,49.33
2390,云辰,21.4
2392,正崴,51.23
2393,億光,44.04
2395,研華,69.7
2397,友通,11.47
2399,映泰,17.81
2401,凌陽,59.2
2402,毅嘉,33.57
2404,漢唐,23.82
2405,浩鑫,33.94
2406,國碩,33.91
2408,南亞科,296.4
2409,友達,962.4
2412,中華電,775.7
2413,環科,12.74
2414,精技,16.17
2415,錩新,8
2417,圓剛,19.29
2419,仲琦,22.97
2420,新巨,15.26
2421,建準,25.09
2423,固緯,14.5
2424,隴華,3
2425,承啟,10.92
2426,鼎元,29.91
2427,三商電,18.43
2428,興勤,12.81
2429,銘旺科,3.68
2430,燦坤,16.75
2431,聯昌,11.09
2433,互盛電,14.45
2434,統懋,7.06
2436,偉詮電,22.26
2437,旺詮,6.913
2438,翔耀,9.522
2439,美律,20.03
2440,太空梭,13.91
2441,超豐,56.88
2442,新美齊,23.99
2443,新利虹,14.57
2444,友旺,10.56
2448,晶電,108.9
2449,京元電,122
2450,神腦,25.83
2451,創見,43.08
2453,凌群,10
2454,聯發科,158.1
2455,全新,18.49
2456,奇力新,22.86
2457,飛宏,33.77
2458,義隆,43.41
2459,敦吉,10.73
2460,建通,16.92
2461,光群雷,16.53
2462,良得電,14.25
2464,盟立,19.55
2465,麗臺,5.359
2466,冠西電,15.63
2467,志聖,15.87
2468,華經,6.996
2471,資通,4.725
2472,立隆電,13.12
